,Player,#,Min,Gls,Ast,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Team,First_Pos,Sec_Pos
0,Son Heung-min,7,90,1,0,5,1,44,8,0,0,1,0.2,0.2,0.1,2,0,25,32,78.1,1,1,1,Tottenham,FW,
1,Steven Bergwijn,23,76,0,1,3,1,24,9,0,0,1,0.5,0.5,0.1,3,1,12,15,80.0,2,1,1,Tottenham,LW,
2,Giovani Lo Celso,18,14,0,0,0,0,15,4,1,0,0,0.0,0.0,0.0,0,0,4,9,44.4,0,1,2,Tottenham,LW,
3,Lucas Moura,27,90,0,0,4,0,56,13,2,2,0,0.4,0.4,0.2,6,1,31,36,86.1,5,4,8,Tottenham,RW,
4,Dele Alli,20,90,0,0,0,0,33,19,3,3,1,0.0,0.0,0.0,1,0,16,21,76.2,4,1,1,Tottenham,CM,
5,Pierre Højbjerg,5,89,0,0,1,0,49,18,5,3,3,0.0,0.0,0.1,4,0,28,38,73.7,4,0,0,Tottenham,CM,
6,Cristian Romero,4,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,Tottenham,CM,
7,Oliver Skipp,29,90,0,0,0,0,36,26,2,2,5,0.0,0.0,0.0,0,0,22,26,84.6,2,0,0,Tottenham,DM,
8,Sergio Reguilón,3,90,0,0,0,0,28,6,0,5,0,0.0,0.0,0.1,3,0,16,22,72.7,3,0,0,Tottenham,LB,
9,Eric Dier,15,90,0,0,0,0,32,2,0,5,1,0.0,0.0,0.0,0,0,16,23,69.6,2,0,0,Tottenham,CB,
10,Davinson Sánchez,6,90,0,0,1,0,40,11,3,0,3,0.1,0.1,0.0,1,0,20,28,71.4,1,0,0,Tottenham,CB,
11,Japhet Tanganga,25,82,0,0,0,0,50,15,4,3,5,0.0,0.0,0.3,1,0,29,32,90.6,3,0,1,Tottenham,RB,
12,Matt Doherty,2,8,0,0,0,0,7,2,1,0,1,0.0,0.0,0.0,0,0,3,6,50.0,1,1,1,Tottenham,RB,
13,Hugo Lloris,1,90,0,0,0,0,30,0,0,0,0,0.0,0.0,0.0,0,0,17,27,63.0,0,0,0,Tottenham,GK,
0,Ferrán Torres,21,90,0,0,2,1,25,6,1,0,2,0.5,0.5,0.0,2,0,13,19,68.4,2,1,1,Manchester City,FW,RW
1,Raheem Sterling,7,69,0,0,1,1,38,8,1,0,0,0.0,0.0,0.0,2,0,25,28,89.3,1,0,2,Manchester City,LW,
2,Gabriel Jesus,9,21,0,0,0,0,7,3,1,0,0,0.0,0.0,0.1,1,0,6,6,100.0,1,0,0,Manchester City,FW,LW
3,Riyad Mahrez,26,78,0,0,2,0,44,5,1,0,0,0.4,0.4,0.0,4,0,30,35,85.7,0,1,1,Manchester City,RW,
4,Kevin De Bruyne,17,12,0,0,1,1,21,1,0,0,0,0.0,0.0,0.0,2,0,10,17,58.8,2,1,2,Manchester City,CM,
5,Jack Grealish,10,90,0,0,3,1,60,7,1,0,0,0.2,0.2,0.1,5,0,43,48,89.6,3,3,3,Manchester City,CM,LW
6,İlkay Gündoğan,8,90,0,0,2,0,57,2,2,0,1,0.1,0.1,0.0,2,0,35,45,77.8,4,2,3,Manchester City,CM,
7,Fernandinho,25,90,0,0,3,0,74,9,4,0,1,0.2,0.2,0.3,3,0,52,63,82.5,5,0,0,Manchester City,DM,
8,Benjamin Mendy,22,78,0,0,0,0,94,12,3,0,0,0.0,0.0,0.3,4,0,73,87,83.9,8,1,3,Manchester City,LB,
9,Oleksandr Zinchenko,11,12,0,0,0,0,17,0,0,1,1,0.0,0.0,0.0,0,0,10,14,71.4,4,0,0,Manchester City,LB,
10,Nathan Aké,6,90,0,0,1,0,68,1,1,0,2,0.2,0.2,0.0,0,0,49,59,83.1,2,0,0,Manchester City,CB,
11,Rúben Dias,3,90,0,0,0,0,62,1,1,1,2,0.0,0.0,0.0,0,0,49,54,90.7,4,0,0,Manchester City,CB,
12,João Cancelo,27,90,0,0,3,0,87,4,2,3,3,0.1,0.1,0.6,4,0,61,73,83.6,9,3,4,Manchester City,RB,
13,Ederson,31,90,0,0,0,0,22,0,0,0,0,0.0,0.0,0.0,2,0,20,22,90.9,0,0,0,Manchester City,GK,
