,len,Player
0,7061,Son Heung-Min
1,106,Steven Bergwijn
2,39,Giovani Lo Celso
3,636,Lucas Moura
4,480,Dele Alli
5,15,Pierre Højbjerg
6,47,Cristian Romero
7,247,Oliver Skipp
8,10,Sergio Reguilón
9,449,Eric Dier
10,25,Davinson Sánchez
11,979,Japhet Tanganga
12,40,Matt Doherty
13,312,Hugo Lloris
14,97,Ferrán Torres
15,455,Raheem Sterling
16,77,Gabriel Jesus
17,257,Riyad Mahrez
18,100,Kevin De Bruyne
19,1855,Jack Grealish
20,46,İlkay Gündoğan
21,120,Fernandinho
22,789,Benjamin Mendy
23,147,Oleksandr Zinchenko
24,43,Nathan Aké
25,203,Rúben Dias
26,50,João Cancelo
27,126,Ederson
